CUSTOMER,PhoneNumber, REVENUE ,MOU,DIRECTAS,OVERAGE,ROAM,CHANGEM,CHANGER,DROPVCE,BLCKVCE,UNANSVCE,CUSTCARE,THREEWAY,MOUREC,OUTCALLS,INCALLS,PEAKVCE,OPEAKVCE,DROPBLK,CALLFWDV,CALLWAIT,PHONES,MODELS,EQPDAYS,SETPRC,ProfitMargin,MONTHS,customer service calls,TotalNumTexts,DataUsageGB,CompetitivePackage,NumEmails,MinWebSurfing,MinMusicStreamed,NumPhotoUploadSocialMedia,NumMinStreamVideo,NumMinOnlineGames
1003811,510-356-2992,383.46,64.75,0,32.25,0,36.25,-3.97,0.33,0,1,2.33,0,0,0.33,0,2,1,0.33,0,0,2,2,60,29.99,0.85,76,4,126,346.148,452.48398,140,86,21,23,160,151
1004257,415-373-2782,427.85,304.5,0,98.25,0,-65.5,-29.35,0,0.33,10.33,0,0,110.63,25.67,23.67,98,34,0.33,0,0.67,3,3,521,29.99,0.91,73,1,27,345.916,474.91017,91,92,52,27,153,139
1004968,415-396-5800,319.54,254.75,1.49,0,0.38,13.25,-1.41,2.33,0.33,2.67,0,0,66.18,4.67,0,31,10.67,2.67,0,0,2,1,766,29.99,0.98,147,2,97,350.081,332.32238,157,85,83,16,152,84
1005232,408-393-7984,254.68,1114.25,0.99,5.25,1.96,411.75,6.12,16.33,4.33,93,3.67,0.33,156.01,49.33,12.67,294,199.67,20.67,0,0,6,4,231,99.99,1.14,77,2,36,129.383,300.519155,226,89,77,20,42,56
1005537,415-358-1958,145.22,24.75,0,1.75,0.32,11.25,36.17,0.33,0.67,1.33,0.33,0,0.39,2.33,0.33,0.33,4.33,1,0,0,3,2,945,29.99,0.76,130,1,38,78.619,185.88704,166,31,21,7,32,50
1005861,415-350-2565,179.39,198.25,0,4.75,4.71,-167.25,-13.14,2.67,3,9,0.67,0,13.48,17.67,0.33,35.67,17.67,5.67,0,0,1,1,1023,0,0.9,111,3,48,175.314,154.27153,220,118,114,6,61,26
1006253,510-343-4696,441.75,426.5,0,0.25,45.85,-166.5,-45.92,1.67,8.33,30,0.67,0,10,12,0.33,53.33,35.33,10,0,0,2,2,44,29.99,1.27,132,3,45,371.3,662.6175,105,56,45,14,171,112
1006616,408-357-3817,350.28,203,0,30.5,13.84,133,28.21,6.67,0.33,6.67,0,0,19.46,3.67,0.33,56,24,7,0,0,3,2,263,29.99,0.49,57,1,100,370.38,465.86575,223,77,81,24,161,32
1006709,408-418-6412,149.1,817,3.22,21.25,0,-40,-3.82,5,3,34,5.33,0,158.55,75.33,14.33,181,102.33,8,0,5.33,3,3,39,149.99,0.38,54,1,37,61.626,147.608505,137,90,36,18,17,59
1007098,415-353-2630,292.01,365.25,0.5,58.25,0,72.75,-9.05,0.67,1.67,22.67,0,0,19.64,11.33,5,47.67,23.67,2.33,0,0,3,3,124,79.99,0.48,20,0,70,326.045,449.701175,146,41,108,25,134,19
1007573,510-410-7789,155.4,2308,0.99,575,7.71,613,144.23,30,1.67,84.67,0.33,0.67,804.86,150,45,526,245.33,31.67,0,1.67,6,3,52,149.99,0.38,49,1,25,140.02,261.0636,144,85,27,24,57,15
1007867,415-416-8428,158.29,1950,2.23,15,0,244,10.91,39.33,5,253.67,2,0.33,472.14,135.67,72.67,787.33,384,44.33,0,23.67,5,4,181,79.99,0.31,142,2,10,161.305,239.0160125,120,107,44,16,65,120
1007932,510-370-3359,350.01,21.75,0,9.75,0,4.25,0.44,0.33,0.67,2,0,0,0,0,0,7.67,0.33,1,0,0,2,2,281,29.99,0.52,75,0,20,305.325,416.5163625,200,93,110,10,125,147
1007987,408-383-1121,342.12,556.5,0.5,0,1.56,-164.5,-44.7,11.33,0,41,0,2.67,62.84,39,11.33,184,46.67,11.33,0,0,4,3,289,9.99,0.57,172,2,71,368.733,578.1823775,130,70,58,20,166,46
1008069,408-360-1596,379.27,1372,0,21.25,8.48,631,25.6,15.33,5,56.33,0,0.33,348.82,19.67,6.67,272.67,131,20.33,0,15,10,6,156,129.99,1.06,12,2,67,382.286,527.191555,244,93,105,11,164,152
1008459,408-395-2854,175.93,957.5,0.99,20.25,0,-31.5,-7.48,11,1.67,87.33,1,3.67,291.84,41,3.33,158,157.67,12.67,0,5.33,4,3,454,79.99,0.57,57,0,14,85.817,205.8413175,165,70,71,13,24,15
1008572,415-362-1407,276.21,96,0,11.75,0.78,-85,-5.16,1,1.33,6.33,0,0,3.19,3.33,0,11.67,10.67,2.33,0,0,1,1,910,0,1.05,72,1,14,222.882,226.49343,140,56,16,10,103,167
1008867,408-341-9764,386.8,1341.25,0.5,362.75,0,-705.25,-88.37,29.67,7,34.67,0.33,0,259.66,20.33,3,178,100.67,36.67,0,4,4,4,446,9.99,1.24,36,4,56,408.078,491.234095,245,45,81,23,180,83
1008890,415-353-3305,214.6,130,0.99,14.33,0,,,3,0,2.67,0,0,32.22,0.33,0,30.33,4.33,3,0,0.67,4,2,44,29.99,0.43,78,2,130,189.56,173.826,39,31,81,27,70,115
1008924,415-402-1381,389.65,1880.25,0,110.5,0,399.75,33.78,29,1,41,0.67,0,669.32,21.33,4.33,374,92,30,0,0.33,4,2,636,29.99,1.03,136,1,60,328.165,463.6879625,206,63,118,14,134,159
1009250,408-332-9891,81.06,24.25,0,0,0,-19.25,-0.38,0.33,0.67,1.67,0,0.33,0,0,0,5.67,2,1,0,0,1,1,890,0,0.41,149,1,64,61.527,115.098455,156,55,27,14,19,169
1009293,408-372-9976,390.7,774.5,6.68,55.25,0,-562.5,-26.02,3.33,9,80.33,1,1.33,198.71,86.33,12.33,363.67,109.67,12.33,0,1.67,3,2,322,29.99,0.49,98,5,79,365.607,621.2054475,140,42,41,12,170,61
1009391,408-383-6029,377.84,446,0.25,15.75,0,44,12.49,3.33,6.67,22.33,3.33,0.67,116.54,43.33,18.33,73.67,87.33,10,0,3.67,2,2,545,29.99,0.77,135,4,40,272.76,476.0784,73,95,51,26,118,25
1009640,510-353-7289,199.75,266.5,0,4.5,0,51.5,4.46,3.67,1,30,0,0,0.5,2.33,0.33,105.67,32.67,4.67,0,0,2,2,832,29.99,0.32,34,1,91,209.238,321.595085,136,109,46,30,85,108
